netstat -ano

Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    192.168.29.188:13776   54.234.82.57:443       ESTABLISHED     13052
  TCP    192.168.29.188:20238   150.171.22.12:443      ESTABLISHED     4056
  TCP    192.168.29.188:20559   130.211.36.94:443      ESTABLISHED     4056
  TCP    192.168.29.188:20854   142.251.222.163:443    TIME_WAIT       0
  TCP    192.168.29.188:23105   192.178.211.84:443     ESTABLISHED     4056
  TCP    192.168.29.188:24131   57.144.213.32:443      ESTABLISHED     4056
  TCP    192.168.29.188:24189   108.158.46.102:443     ESTABLISHED     4056
  TCP    192.168.29.188:24974   100.29.177.189:443     ESTABLISHED     24392
  TCP    192.168.29.188:24985   52.123.173.3:443       ESTABLISHED     18412
  TCP    192.168.29.188:24986   20.249.168.121:443     ESTABLISHED     4076
  TCP    192.168.29.188:24987   148.113.16.94:443      ESTABLISHED     5028
  TCP    192.168.29.188:24989   49.44.120.97:443       ESTABLISHED     9476
  TCP    192.168.29.188:25428   52.123.171.37:443      ESTABLISHED     11680
  TCP    192.168.29.188:25691   192.178.211.84:443     ESTABLISHED     4056
  TCP    192.168.29.188:28129   74.125.130.188:5228    ESTABLISHED     4056
  TCP    192.168.29.188:30528   54.234.82.57:443       ESTABLISHED     13052
  TCP    192.168.29.188:32935   4.213.25.240:443       ESTABLISHED     10128
  TCP    192.168.29.188:33582   35.220.128.127:443     ESTABLISHED     4056
  TCP    192.168.29.188:34067   74.125.130.188:5228    ESTABLISHED     4056
  TCP    192.168.29.188:34832   54.167.74.83:443       ESTABLISHED     4056
  TCP    192.168.29.188:36504   142.250.205.110:443    TIME_WAIT       0
  TCP    192.168.29.188:37540   52.206.16.101:443      CLOSE_WAIT      24392
  TCP    192.168.29.188:38510   185.199.108.133:443    ESTABLISHED     4056
  TCP    192.168.29.188:39741   3.215.93.7:443         ESTABLISHED     4056
  TCP    192.168.29.188:41067   54.234.82.57:443       ESTABLISHED     13052
  TCP    192.168.29.188:41167   49.44.120.97:443       ESTABLISHED     5600
  TCP    192.168.29.188:44169   74.125.130.188:5228    ESTABLISHED     4056
  TCP    192.168.29.188:44437   4.190.204.134:443      ESTABLISHED     11680
  TCP    192.168.29.188:46864   52.87.91.65:443        ESTABLISHED     24392
  TCP    192.168.29.188:49422   4.213.25.240:443       ESTABLISHED     6176
  TCP    192.168.29.188:49680   99.86.147.109:443      ESTABLISHED     17312
  TCP    192.168.29.188:49681   54.211.36.14:443       ESTABLISHED     24392
  TCP    192.168.29.188:51427   172.64.155.209:443     ESTABLISHED     4056
  TCP    192.168.29.188:52359   54.234.82.57:443       ESTABLISHED     13052
  TCP    192.168.29.188:55074   35.201.97.85:443       ESTABLISHED     4056
  TCP    192.168.29.188:56952   107.22.53.22:443       ESTABLISHED     24392
  TCP    192.168.29.188:58544   57.155.142.104:443     TIME_WAIT       0
  TCP    192.168.29.188:58545   57.155.142.104:443     TIME_WAIT       0
  TCP    192.168.29.188:62331   52.206.178.246:443     ESTABLISHED     4056
  TCP    192.168.29.188:63808   140.82.114.26:443      ESTABLISHED     4056
  TCP    192.168.56.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.75.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.132.1:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.208.1:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.221.1:139      0.0.0.0:0              LISTENING       4
  TCP    [::]:135               [::]:0                 LISTENING       1612
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:7070              [::]:0                 LISTENING       5028
  TCP    [::]:8733              [::]:0                 LISTENING       4
  TCP    [::]:9007              [::]:0                 LISTENING       4
  TCP    [::]:49664             [::]:0                 LISTENING       1288
  TCP    [::]:49665             [::]:0                 LISTENING       1116
  TCP    [::]:49666             [::]:0                 LISTENING       2196
  TCP    [::]:49667             [::]:0                 LISTENING       3244
  TCP    [::]:49668             [::]:0                 LISTENING       4436
  TCP    [::]:49670             [::]:0                 LISTENING       1236
  TCP    [::1]:42050            [::]:0                 LISTENING       20844
  TCP    [::1]:49669            [::]:0                 LISTENING       7084
  TCP    [fe80::fcb:c39a:efbf:6fbc%14]:6881  [::]:0                 LISTENING       16060
  TCP    [fe80::2dd0:3caf:b292:b483%7]:6881  [::]:0                 LISTENING       16060
  TCP    [fe80::b69b:82a0:2c8d:fc54%11]:6881  [::]:0                 LISTENING       16060
  UDP    0.0.0.0:1900           *:*                                    16060
  UDP    0.0.0.0:5050           *:*                                    11052
  UDP    0.0.0.0:5353           *:*                                    4056
  UDP    0.0.0.0:5353           *:*                                    4056
  UDP    0.0.0.0:5353           *:*                                    4056
  UDP    0.0.0.0:5353           *:*                                    20124
  UDP    0.0.0.0:5353           *:*                                    4056
  UDP    0.0.0.0:5353           *:*                                    4056
  UDP    0.0.0.0:5353           *:*                                    4056
  UDP    0.0.0.0:5353           *:*                                    20124
  UDP    0.0.0.0:5353           *:*                                    4056
  UDP    0.0.0.0:5353           *:*                                    20124
  UDP    0.0.0.0:5353           *:*                                    4056
  UDP    0.0.0.0:5353           *:*                                    4056
  UDP    0.0.0.0:5353           *:*                                    4056
  UDP    0.0.0.0:5353           *:*                                    4056
  UDP    0.0.0.0:5353           *:*                                    4056
  UDP    0.0.0.0:5353           *:*                                    4056
  UDP    0.0.0.0:5353           *:*                                    4056
  UDP    0.0.0.0:5353           *:*                                    20124
  UDP    0.0.0.0:5353           *:*                                    2288
  UDP    0.0.0.0:5353           *:*                                    4056
  UDP    0.0.0.0:5353           *:*                                    4056
  UDP    0.0.0.0:5353           *:*                                    4056
  UDP    0.0.0.0:5353           *:*                                    4056
  UDP    0.0.0.0:5353           *:*                                    4056
  UDP    0.0.0.0:5353           *:*                                    4056
  UDP    0.0.0.0:5353           *:*                                    20124
  UDP    0.0.0.0:5353           *:*                                    20124
  UDP    0.0.0.0:5353           *:*                                    20124
  UDP    0.0.0.0:5353           *:*                                    20124
  UDP    0.0.0.0:5353           *:*                                    20124
  UDP    0.0.0.0:5353           *:*                                    4056
  UDP    0.0.0.0:5353           *:*                                    4056
  UDP    0.0.0.0:5353           *:*                                    4056
  UDP    0.0.0.0:5353           *:*                                    4056
  UDP    0.0.0.0:5353           *:*                                    4056
  UDP    0.0.0.0:5353           *:*                                    4056
  UDP    0.0.0.0:5353           *:*                                    4056
  UDP    0.0.0.0:5355           *:*                                    2288
  UDP    0.0.0.0:6771           *:*                                    16060
  UDP    0.0.0.0:6771           *:*                                    16060
  UDP    0.0.0.0:6881           *:*                                    16060
